as_of_date,clinicalstatus,vaccination_status,count_of_case
2022-10-08,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-09,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-10,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-11,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-12,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-13,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-14,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-15,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-16,Deceased (based on date of death),Fully Vaccinated (With Booster),0.04
2022-10-17,Deceased (based on date of death),Fully Vaccinated (With Booster),0.04
2022-10-18,Deceased (based on date of death),Fully Vaccinated (With Booster),0.04
2022-10-19,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-20,Deceased (based on date of death),Fully Vaccinated (With Booster),0.04
2022-10-21,Deceased (based on date of death),Fully Vaccinated (With Booster),0.04
2022-10-22,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-23,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-24,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-25,Deceased (based on date of death),Fully Vaccinated (With Booster),0.02
2022-10-26,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-27,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-28,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-29,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-10-30,Deceased (based on date of death),Fully Vaccinated (With Booster),0.04
2022-10-31,Deceased (based on date of death),Fully Vaccinated (With Booster),0.04
2022-11-01,Deceased (based on date of death),Fully Vaccinated (With Booster),0.03
2022-11-02,Deceased (based on date of death),Fully Vaccinated (With Booster),0.02
2022-11-03,Deceased (based on date of death),Fully Vaccinated (With Booster),0.02
2022-11-04,Deceased (based on date of death),Fully Vaccinated (With Booster),0.02
2022-10-08,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-09,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-10,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-11,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-12,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-13,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-14,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-15,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-16,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
2022-10-17,Deceased (based on date of death),Fully Vaccinated (Without Booster),0.0
