as_of_date,clinicalstatus,vaccination_status,count_of_case
2022-09-23,Deceased (based on date of death),Fully Vaccinated,0.01
2022-09-24,Deceased (based on date of death),Fully Vaccinated,0.0
2022-09-25,Deceased (based on date of death),Fully Vaccinated,0.0
2022-09-26,Deceased (based on date of death),Fully Vaccinated,0.0
2022-09-27,Deceased (based on date of death),Fully Vaccinated,0.01
2022-09-28,Deceased (based on date of death),Fully Vaccinated,0.01
2022-09-29,Deceased (based on date of death),Fully Vaccinated,0.0
2022-09-30,Deceased (based on date of death),Fully Vaccinated,0.01
2022-10-01,Deceased (based on date of death),Fully Vaccinated,0.01
2022-10-02,Deceased (based on date of death),Fully Vaccinated,0.01
2022-10-03,Deceased (based on date of death),Fully Vaccinated,0.01
2022-10-04,Deceased (based on date of death),Fully Vaccinated,0.02
2022-10-05,Deceased (based on date of death),Fully Vaccinated,0.02
2022-10-06,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-07,Deceased (based on date of death),Fully Vaccinated,0.02
2022-10-08,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-09,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-10,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-11,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-12,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-13,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-14,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-15,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-16,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-17,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-18,Deceased (based on date of death),Fully Vaccinated,0.04
2022-10-19,Deceased (based on date of death),Fully Vaccinated,0.03
2022-10-20,Deceased (based on date of death),Fully Vaccinated,0.03
2022-09-23,Deceased (based on date of death),Non-Fully Vaccinated,0.02
2022-09-24,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-09-25,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-09-26,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-09-27,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-09-28,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-09-29,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-09-30,Deceased (based on date of death),Non-Fully Vaccinated,0.08
2022-10-01,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-02,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-03,Deceased (based on date of death),Non-Fully Vaccinated,0.02
2022-10-04,Deceased (based on date of death),Non-Fully Vaccinated,0.02
2022-10-05,Deceased (based on date of death),Non-Fully Vaccinated,0.02
2022-10-06,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-07,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-08,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-09,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-10,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-11,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-12,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-13,Deceased (based on date of death),Non-Fully Vaccinated,0.02
2022-10-14,Deceased (based on date of death),Non-Fully Vaccinated,0.04
2022-10-15,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-10-16,Deceased (based on date of death),Non-Fully Vaccinated,0.06
2022-10-17,Deceased (based on date of death),Non-Fully Vaccinated,0.08
2022-10-18,Deceased (based on date of death),Non-Fully Vaccinated,0.1
2022-10-19,Deceased (based on date of death),Non-Fully Vaccinated,0.14
2022-10-20,Deceased (based on date of death),Non-Fully Vaccinated,0.16
2022-09-23,ICU,Fully Vaccinated,0.13
2022-09-24,ICU,Fully Vaccinated,0.13
2022-09-25,ICU,Fully Vaccinated,0.13
2022-09-26,ICU,Fully Vaccinated,0.13
2022-09-27,ICU,Fully Vaccinated,0.12
2022-09-28,ICU,Fully Vaccinated,0.11
2022-09-29,ICU,Fully Vaccinated,0.11
2022-09-30,ICU,Fully Vaccinated,0.12
2022-10-01,ICU,Fully Vaccinated,0.13
2022-10-02,ICU,Fully Vaccinated,0.13
2022-10-03,ICU,Fully Vaccinated,0.14
2022-10-04,ICU,Fully Vaccinated,0.15
2022-10-05,ICU,Fully Vaccinated,0.17
2022-10-06,ICU,Fully Vaccinated,0.17
2022-10-07,ICU,Fully Vaccinated,0.18
2022-10-08,ICU,Fully Vaccinated,0.18
2022-10-09,ICU,Fully Vaccinated,0.18
2022-10-10,ICU,Fully Vaccinated,0.19
2022-10-11,ICU,Fully Vaccinated,0.19
2022-10-12,ICU,Fully Vaccinated,0.18
2022-10-13,ICU,Fully Vaccinated,0.18
2022-10-14,ICU,Fully Vaccinated,0.18
2022-10-15,ICU,Fully Vaccinated,0.19
2022-10-16,ICU,Fully Vaccinated,0.2
2022-10-17,ICU,Fully Vaccinated,0.21
2022-10-18,ICU,Fully Vaccinated,0.22
2022-10-19,ICU,Fully Vaccinated,0.23
2022-10-20,ICU,Fully Vaccinated,0.23
2022-09-23,ICU,Non-Fully Vaccinated,0.36
2022-09-24,ICU,Non-Fully Vaccinated,0.36
2022-09-25,ICU,Non-Fully Vaccinated,0.4
2022-09-26,ICU,Non-Fully Vaccinated,0.4
2022-09-27,ICU,Non-Fully Vaccinated,0.38
2022-09-28,ICU,Non-Fully Vaccinated,0.36
2022-09-29,ICU,Non-Fully Vaccinated,0.34
2022-09-30,ICU,Non-Fully Vaccinated,0.29
2022-10-01,ICU,Non-Fully Vaccinated,0.25
2022-10-02,ICU,Non-Fully Vaccinated,0.21
2022-10-03,ICU,Non-Fully Vaccinated,0.17
2022-10-04,ICU,Non-Fully Vaccinated,0.15
2022-10-05,ICU,Non-Fully Vaccinated,0.15
2022-10-06,ICU,Non-Fully Vaccinated,0.17
2022-10-07,ICU,Non-Fully Vaccinated,0.21
2022-10-08,ICU,Non-Fully Vaccinated,0.23
2022-10-09,ICU,Non-Fully Vaccinated,0.25
2022-10-10,ICU,Non-Fully Vaccinated,0.25
2022-10-11,ICU,Non-Fully Vaccinated,0.25
2022-10-12,ICU,Non-Fully Vaccinated,0.27
2022-10-13,ICU,Non-Fully Vaccinated,0.27
2022-10-14,ICU,Non-Fully Vaccinated,0.25
2022-10-15,ICU,Non-Fully Vaccinated,0.27
2022-10-16,ICU,Non-Fully Vaccinated,0.25
2022-10-17,ICU,Non-Fully Vaccinated,0.25
2022-10-18,ICU,Non-Fully Vaccinated,0.25
2022-10-19,ICU,Non-Fully Vaccinated,0.23
2022-10-20,ICU,Non-Fully Vaccinated,0.23
