pr_date,ratio_comm_cases_pw_over_wb
2022-11-28,0.74
2022-11-29,0.74
2022-11-30,0.75
2022-12-01,0.76
2022-12-02,0.79
2022-12-03,0.78
2022-12-04,0.79
2022-12-05,0.81
2022-12-06,0.86
2022-12-07,0.88
2022-12-08,0.93
2022-12-09,0.95
2022-12-10,1.0
2022-12-11,1.02
2022-12-12,1.02
2022-12-13,1.01
2022-12-14,1.01
2022-12-15,0.97
2022-12-16,0.94
2022-12-17,0.93
2022-12-18,0.91
2022-12-19,0.91
2022-12-20,0.9
2022-12-21,0.87
2022-12-22,0.88
2022-12-23,0.88
2022-12-24,0.87
2022-12-25,0.87
2022-12-26,0.84
2022-12-27,0.75
2022-12-28,0.83
2022-12-29,0.84
2022-12-30,0.86
2022-12-31,0.85
2023-01-01,0.84
2023-01-02,0.87
2023-01-03,1.0
2023-01-04,0.92
2023-01-05,0.89
2023-01-06,0.86
2023-01-07,0.86
2023-01-08,0.9
2023-01-09,0.91
2023-01-10,0.99
2023-01-11,0.87
2023-01-12,0.85
2023-01-13,0.83
2023-01-14,0.81
2023-01-15,0.75
2023-01-16,0.73
2023-01-17,0.61
2023-01-18,0.67
2023-01-19,0.67
2023-01-20,0.68
2023-01-21,0.67
2023-01-22,0.67
2023-01-23,0.63
2023-01-24,0.56
2023-01-25,0.51
2023-01-26,0.59
2023-01-27,0.62
