Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,628694934,8065.837176326564,1818493,23.33034298680958,210464,6576088,84.36787414163416,6766,0.0868043487925187,360,
United States of America,Americas,96206427,29065.153,0,0,0,1060430,320.369,0,0,0
India,South-East Asia,44658365,3236.103,9277,0.672,1216,530479,38.44,1480,0.107,18
France,Europe,35843004,55109.713,145498,223.708,42006,153610,236.18,428,0.658,55
Germany,Europe,35784912,43027.927,241931,290.899,37347,154328,185.565,113,0.136,8
Brazil,Americas,34839337,16390.399,32262,15.178,2302,688228,323.781,321,0.151,9
Republic of Korea,Western Pacific,25760701,50245.973,293734,572.925,43449,29315,57.179,184,0.359,0
The United Kingdom,Europe,23930041,35250.331,26638,39.239,2127,194704,286.81,388,0.572,0
Italy,Europe,23531023,39454.118,55836,93.619,0,179101,300.296,161,0.27,0
Japan,Western Pacific,22500313,17790.119,312136,246.794,0,46850,37.042,256,0.202,0
Russian Federation,Europe,21453667,14700.892,43852,30.049,6149,390459,267.558,509,0.349,71
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13511768,28546.423,23753,50.183,0,115078,243.126,220,0.465,0
Viet Nam,Western Pacific,11504910,11819.476,5553,5.705,819,43165,44.345,3,0.003,0
Australia,Western Pacific,10364859,40646.691,0,0,0,14853,58.247,0,0,0
Argentina,Americas,9718875,21503.946,1329,2.941,0,129991,287.618,12,0.027,0
China,Western Pacific,9075899,616.868,233404,15.864,35371,28679,1.949,462,0.031,0
Netherlands,Europe,8517666,48930.774,7851,45.101,0,22825,131.121,19,0.109,0
Iran (Islamic Republic of),Eastern Mediterranean,7557920,8998.279,786,0.936,0,144580,172.133,18,0.021,0
Mexico,Americas,7112504,5516.445,2157,1.673,1511,330410,256.265,18,0.014,18
Indonesia,South-East Asia,6512913,2381.115,28149,10.291,5303,158768,58.045,224,0.082,31
Poland,Europe,6343097,16710.77,3776,9.948,693,118157,311.282,50,0.132,14
Colombia,Americas,6309716,12400.467,548,1.077,0,141837,278.752,10,0.02,0
Portugal,Europe,5518766,53601.542,0,0,0,25197,244.728,0,0,0
Austria,Europe,5453038,61262.766,31432,353.126,4218,21012,236.062,39,0.438,0
Ukraine,Europe,5312632,12147.668,16378,37.449,0,110186,251.947,178,0.407,0
Greece,Europe,5188890,48410.305,53436,498.537,0,33750,314.874,164,1.53,0
Malaysia,Western Pacific,4914557,15184.32,24120,74.523,4711,36480,112.711,17,0.053,0
Chile,Americas,4769638,24950.763,32426,169.626,3709,61725,322.894,118,0.617,48
Thailand,South-East Asia,4692448,6722.707,2551,3.655,0,32955,47.213,33,0.047,0
Israel,Europe,4687141,54151.913,5514,63.705,551,11767,135.948,2,0.023,0
Belgium,Europe,4617315,40072.372,3588,31.139,2,32941,285.886,31,0.269,0
Canada,Americas,4336860,11490.759,21811,57.789,0,46389,122.91,305,0.808,0
Switzerland,Europe,4235228,48936.048,9815,113.408,0,13658,157.812,7,0.081,0
Czechia,Europe,4160925,38909.19,4379,40.948,679,41635,389.333,53,0.496,4
